split_family,heldout_period,split_role,train_rule,description,train_event_keys,test_event_keys,n_train_events,n_test_events,n_train_cities,n_test_cities,n_train_tokens,n_test_tokens,test_start,test_end,mean_test_total_rain,mean_test_peak_speed_impact,mean_test_baseline_loss,mean_test_recoverable_fraction
calendar_year_group,year_2019,confounded_year_audit,all_events_except_year_2019,Hold out calendar years; this is city-confounded in the current data.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99,54,51,3,4,76802,93335,2019-04-04 01:00:00,2019-07-29 17:00:00,0.2538985469,0.02730889189,0.2690800141,0.1253314736
calendar_year_group,year_2023,confounded_year_audit,all_events_except_year_2023,Hold out calendar years; this is city-confounded in the current data.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659,85,20,6,1,136418,33719,2023-07-04 01:00:00,2023-07-29 19:00:00,0.2388780817,0.01029298555,0.05463733117,0.1597025418
calendar_year_group,year_2024,confounded_year_audit,all_events_except_year_2024,Hold out calendar years; this is city-confounded in the current data.,Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||60;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,71,34,5,2,127054,43083,2024-07-06 17:00:00,2024-07-28 16:00:00,0.188127321,0.01976791154,0.09855512861,0.1341533896
within_city_forward_cut,after_50pct,forward_chronological_audit,train_within_city_order_rank_le_0.50,Train on earlier events within each city and test on later events.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Houston||52;Houston||60;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500,Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||61;Houston||62;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,54,51,7,7,91772,78365,2019-04-24 11:00:00,2024-07-28 16:00:00,0.1376409575,0.02055187995,0.1746040841,0.130376874
within_city_forward_cut,after_67pct,forward_chronological_audit,train_within_city_order_rank_le_0.67,Train on earlier events within each city and test on later events.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Houston||52;Houston||60;Houston||61;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503,Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||62;Dallas||63;Dallas||64;Houston||62;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,71,34,7,7,117970,52167,2019-04-28 01:00:00,2024-07-28 16:00:00,0.1288405822,0.01741243147,0.145879591,0.1315271258
within_city_order_half,early_half,main_within_city_chronological,all_events_except_early_half,Hold out early or late half of each city's event sequence.,Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||61;Houston||62;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Houston||52;Houston||60;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500,51,54,7,7,78365,91772,2019-04-04 01:00:00,2024-07-23 00:00:00,0.3167227335,0.02264030207,0.1715165449,0.1388509382
within_city_order_half,late_half,main_within_city_chronological,all_events_except_late_half,Hold out early or late half of each city's event sequence.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Houston||52;Houston||60;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500,Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||61;Houston||62;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,54,51,7,7,91772,78365,2019-04-24 11:00:00,2024-07-28 16:00:00,0.1376409575,0.02055187995,0.1746040841,0.130376874
within_city_order_tertile,early_tertile,main_within_city_chronological,all_events_except_early_tertile,Hold out early/middle/late event order bins inside each city.,Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||60;Houston||61;Houston||62;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Dallas||55;Dallas||56;Dallas||57;Houston||52;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496,71,34,7,7,115645,54492,2019-04-04 01:00:00,2024-07-18 12:00:00,0.2750696251,0.02059970651,0.1489827459,0.135801504
within_city_order_tertile,late_tertile,main_within_city_chronological,all_events_except_late_tertile,Hold out early/middle/late event order bins inside each city.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Houston||52;Houston||60;Houston||61;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503,Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||62;Dallas||63;Dallas||64;Houston||62;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,71,34,7,7,117970,52167,2019-04-28 01:00:00,2024-07-28 16:00:00,0.1288405822,0.01741243147,0.145879591,0.1315271258
within_city_order_tertile,middle_tertile,main_within_city_chronological,all_events_except_middle_tertile,Hold out early/middle/late event order bins inside each city.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||62;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Houston||60;Houston||61;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503,68,37,7,7,106659,63478,2019-04-18 05:00:00,2024-07-24 09:00:00,0.2808045781,0.02644079725,0.2200373584,0.1367026439
calendar_day_phase,early_month,supporting_calendar_phase,all_events_except_early_month,Hold out early/middle/late day-of-month phases.,Austin||479;Austin||480;Austin||481;Austin||482;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||60;Houston||61;Houston||62;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||120;New York||121;New York||122;New York||123;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||478;Chicago||145;Chicago||146;Chicago||147;Houston||52;New York||100;New York||101;New York||102;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;San Antonio||491;San Antonio||492;San Antonio||493,86,19,7,6,136432,33705,2019-04-04 01:00:00,2024-07-10 17:00:00,0.378540058,0.01569447153,0.0795402173,0.1471110011
calendar_day_phase,late_month,supporting_calendar_phase,all_events_except_late_month,Hold out early/middle/late day-of-month phases.,Austin||478;Austin||479;Austin||480;Austin||481;Austin||482;Chicago||145;Chicago||146;Chicago||147;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Houston||52;Houston||60;New York||100;New York||101;New York||102;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497,Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||61;Houston||62;New York||120;New York||121;New York||122;New York||123;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,61,44,7,7,106486,63651,2019-04-23 19:00:00,2024-07-28 16:00:00,0.2029200571,0.02455849855,0.1936841445,0.1253066213
calendar_day_phase,middle_month,supporting_calendar_phase,all_events_except_middle_month,Hold out early/middle/late day-of-month phases.,Austin||478;Austin||483;Austin||484;Austin||485;Austin||486;Austin||487;Austin||488;Austin||489;Austin||490;Austin||491;Austin||492;Chicago||145;Chicago||146;Chicago||147;Chicago||155;Chicago||156;Chicago||157;Chicago||158;Chicago||159;Dallas||59;Dallas||60;Dallas||61;Dallas||62;Dallas||63;Dallas||64;Houston||52;Houston||61;Houston||62;New York||100;New York||101;New York||102;New York||120;New York||121;New York||122;New York||123;New York||98;New York||99;Philadelphia||640;Philadelphia||641;Philadelphia||642;Philadelphia||643;Philadelphia||644;Philadelphia||645;Philadelphia||655;Philadelphia||656;Philadelphia||657;Philadelphia||658;Philadelphia||659;San Antonio||491;San Antonio||492;San Antonio||493;San Antonio||498;San Antonio||499;San Antonio||500;San Antonio||501;San Antonio||502;San Antonio||503;San Antonio||504;San Antonio||505;San Antonio||506;San Antonio||507;San Antonio||508;San Antonio||509,Austin||479;Austin||480;Austin||481;Austin||482;Chicago||149;Chicago||150;Chicago||152;Chicago||153;Chicago||154;Dallas||55;Dallas||56;Dallas||57;Dallas||58;Houston||60;New York||103;New York||104;New York||105;New York||106;New York||107;New York||108;New York||109;New York||110;New York||111;New York||112;New York||113;New York||115;New York||116;New York||117;New York||119;Philadelphia||646;Philadelphia||647;Philadelphia||648;Philadelphia||649;Philadelphia||650;Philadelphia||651;Philadelphia||652;Philadelphia||653;Philadelphia||654;San Antonio||494;San Antonio||495;San Antonio||496;San Antonio||497,63,42,7,7,97356,72781,2019-04-17 11:00:00,2024-07-19 12:00:00,0.1905231625,0.0212369832,0.1936508387,0.1390135924
